show_id;type;title;cast_in;country;release_year;rating;duration;listed_in;date_added
1868;Movie;House of the Witch;Emily Bader, Darren Mann, Michelle Randolph;United States;2017;TV-MA;86 min;Horror Movies;11.10.2020
1870;Movie;Ginny Weds Sunny;Yami Gautam, Vikrant Massey, Suhail Nayyar;India;2020;TV-MA;126 min;Comedies, International Movies, Romantic Movies;09.10.2020
1871;Movie;My Step Dad: The Hippie;Onur Buldu, Mahir İpek, Derya Karadaş;Turkey;2018;TV-MA;100 min;Comedies, International Movies;09.10.2020
1873;Movie;The Forty-Year-Old Version;Radha Blank, Peter Kim, Oswin Benjamin;United States;2020;R;124 min;Comedies, Dramas, Independent Movies;09.10.2020
1874;TV Show;The Haunting of Bly Manor;Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas;United States;2020;TV-MA;1 Season;TV Dramas, TV Horror, TV Mysteries;09.10.2020
1876;TV Show;Do Do Sol Sol La La Sol;Go A-ra, Lee Jae-wook, Kim Ju-hun;South Korea;2020;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;08.10.2020
1877;Movie;Palermo Hollywood;Brian Maya, Matías Desiderio, Manuela Pal;Argentina;2004;TV-MA;106 min;Dramas, International Movies;08.10.2020
1878;TV Show;Private Lives;Seohyun, Ko Kyung-pyo, Kim Hyo-jin;South Korea;2020;TV-14;1 Season;Crime TV Shows, International TV Shows, TV Dramas;08.10.2020
1879;TV Show;The 100;Eliza Taylor, Paige Turco, Bob Morley;United States;2020;TV-MA;7 Seasons;TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy;08.10.2020
1880;Movie;Hubie Halloween;Adam Sandler, Kevin James, Julie Bowen;United States;2020;PG-13;104 min;Comedies, Horror Movies;07.10.2020
1881;TV Show;To the Lake;Viktoriya Isakova, Kirill Käro, Aleksandr Robak;Russia;2020;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries;07.10.2020
1882;Movie;American Pie 9: Girls' Rules;Madison Pettis, Lizze Broadway, Piper Curda;United States;2020;R;96 min;Comedies;06.10.2020
1884;Movie;StarBeam: Halloween Hero;Nahanni Mitchell, Dean Petriw, Terry Klassen;Canada;2020;TV-Y;33 min;Children & Family Movies;06.10.2020
1885;Movie;Walk Away from Love;Noree Victoria, Brad James, Robert Christopher Riley;United States;2017;TV-14;81 min;Dramas, Romantic Movies;06.10.2020
1888;Movie;Best Wishes, Warmest Regards: A Schitt's Creek Farewell;Daniel Levy, Eugene Levy, Catherine O'Hara;Canada;2020;TV-MA;44 min;Documentaries, LGBTQ Movies;03.10.2020
1889;Movie;Good Game: The Beginning;Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı;Turkey;2018;TV-14;115 min;Dramas, International Movies, Sports Movies;03.10.2020
1892;Movie;A Chaster Marriage;Emre Karayel, Ceren Moray, Begüm Kütük;Turkey;2016;TV-14;94 min;Comedies, International Movies, Romantic Movies;02.10.2020
1894;TV Show;DreamWorks Happy Holidays from Madagascar;Tom McGrath, Chris Miller, Christopher Knights;United States;2005;TV-PG;1 Season;Kids' TV, TV Comedies;02.10.2020
1895;TV Show;Emily in Paris;Lily Collins, Philippine Leroy-Beaulieu, Ashley Park;United States;2020;TV-MA;1 Season;Romantic TV Shows, TV Comedies, TV Dramas;02.10.2020
1897;Movie;Òlòtūré;Beverly Osu, Sharon Ooja, Omowunmi Dada;Nigeria;2020;TV-MA;107 min;Dramas, International Movies;02.10.2020
1898;Movie;Serious Men;Nawazuddin Siddiqui, Nasser, Aakshath Das;India;2020;TV-MA;115 min;Comedies, Dramas, International Movies;02.10.2020
1900;Movie;Turkish Dance School;Binnur Kaya, Demet Özdemir, Uraz Kaygılaroğlu;Turkey;2017;TV-MA;107 min;Comedies, International Movies, Romantic Movies;02.10.2020
